planet,name,radius,albedo
Earth,Moon,1737.5,0.12
Mars,Phobos,11.1,0.071
Mars,Deimos,6.2,0.068
Jupiter,Io,1821.6,0.63
Jupiter,Europa,1560.8,0.67
Jupiter,Ganymede,2631.2,0.43
Jupiter,Callisto,2410.3,0.17
Jupiter,Amalthea,83.45,0.090
Jupiter,Himalia,85,0.04
Jupiter,Elara,43,0.04
Jupiter,Pasiphae,30,0.04
Jupiter,Sinope,19,0.04
Jupiter,Lysithea,18,0.04
Jupiter,Carme,23,0.04
Jupiter,Ananke,14,0.04
Jupiter,Leda,10,0.04
Jupiter,Thebe,49.3,0.047
Jupiter,Adrastea,8.2,0.1
Jupiter,Metis,21.5,0.061
Jupiter,Callirrhoe,4.3,0.04
Jupiter,Themisto,4.0,0.04
Jupiter,Megaclite,2.7,0.04
Jupiter,Taygete,2.5,0.04
Jupiter,Chaldene,1.9,0.04
Jupiter,Harpalyke,2.2,0.04
Jupiter,Kalyke,2.6,0.04
Jupiter,Iocaste,2.6,0.04
Jupiter,Erinome,1.6,0.04
Jupiter,Isonoe,1.9,0.04
Jupiter,Praxidike,3.4,0.04
Jupiter,Autonoe,2.0,0.04
Jupiter,Thyone,2.0,0.04
Jupiter,Hermippe,2.0,0.04
Jupiter,Aitne,1.5,0.04
Jupiter,Eurydome,1.5,0.04
Jupiter,Euanthe,1.5,0.04
Jupiter,Euporie,1.0,0.04
Jupiter,Orthosie,1.0,0.04
Jupiter,Sponde,1.0,0.04
Jupiter,Kale,1.0,0.04
Jupiter,Pasithee,1.0,0.04
Jupiter,Hegemone,1.5,0.04
Jupiter,Mneme,1.0,0.04
Jupiter,Aoede,2.0,0.04
Jupiter,Thelxinoe,1.0,0.04
Jupiter,Arche,1.5,0.04
Jupiter,Kallichore,1.0,0.04
Jupiter,Helike,2.0,0.04
Jupiter,Carpo,1.5,0.04
Jupiter,Eukelade,2.0,0.04
Jupiter,Cyllene,1.0,0.04
Jupiter,Kore,1.0,0.04
Jupiter,Herse,1.0,0.04
Jupiter,S/2000 J11,1.0,0.04
